from	to	action	doi	primary
CBM1	cellulose	BINDS	CAZy	1
CBM1	chitin	BINDS	CAZy	1
CBM2	cellulose	BINDS	CAZy	1
CBM2	chitin	BINDS	CAZy	1
CBM2	xylans	BINDS	CAZy	1
CBM3	cellulose	BINDS	CAZy	1
CBM3	chitin	BINDS	CAZy	1
CBM4	xylans	BINDS	CAZy	1
CBM4	beta-1,3-glucan	BINDS	CAZy	1
CBM4	beta-1,3-1,4-glucan	BINDS	CAZy	1
CBM4	beta-1,6-glucan	BINDS	CAZy	1
CBM4	cellulose	BINDS	CAZy	1
CBM5	chitin	BINDS	CAZy	1
CBM6	cellulose	BINDS	CAZy	1
CBM6	beta-1,3-glucan	BINDS	CAZy	1
CBM6	beta-1,3-1,4-glucan	BINDS	CAZy	1
CBM6	beta-1,4-glucan	BINDS	CAZy	1
CBM8	cellulose	BINDS	CAZy	1
CBM9	cellulose	BINDS	CAZy	1
CBM9	xylans	BINDS	CAZy	1
CBM10	cellulose	BINDS	CAZy	1
CBM11	beta-1,4-glucan	BINDS	CAZy	1
CBM11	beta-1,3-1,4-mixed linked glucans	BINDS	CAZy	1
CBM12	chitin	BINDS	CAZy	1
CBM13	mannose	BINDS	CAZy	1
CBM13	xylans	BINDS	CAZy	1
CBM13	n-acetylgalactosamine	BINDS	CAZy	1
CBM14	chitin	BINDS	CAZy	1
CBM15	xylans	BINDS	CAZy	1
CBM15	xylooligosaccharides	BINDS	CAZy	1
CBM16	cellulose	BINDS	CAZy	1
CBM16	glucomannan	BINDS	CAZy	1
CBM17	cellulose	BINDS	CAZy	1
CBM17	cellooligosaccharides	BINDS	CAZy	1
CBM18	chitin	BINDS	CAZy	1
CBM19	chitin	BINDS	CAZy	1
CBM20	starch	BINDS	CAZy	1
CBM20	cyclodextrins	BINDS	CAZy	1
CBM21	starch	BINDS	CAZy	1
CBM22	xylans	BINDS	CAZy	1
CBM22	beta-1,3-glucan	BINDS	CAZy	1
CBM22	beta-1,4-glucan	BINDS	CAZy	1
CBM23	mannans	BINDS	CAZy	1
CBM7	cellulose	BINDS	CAZy	1
CBM24	alpha-1,3-glucan	BINDS	CAZy	1
CBM25	starch	BINDS	CAZy	1
CBM26	starch	BINDS	CAZy	1
CBM27	mannans	BINDS	CAZy	1
CBM28	non-crystalline cellulose	BINDS	CAZy	1
CBM28	cellooligosaccharides	BINDS	CAZy	1
CBM28	beta-1,3-1,4-glucan	BINDS	CAZy	1
CBM29	mannans	BINDS	CAZy	1
CBM29	glucomannan	BINDS	CAZy	1
CBM30	cellulose	BINDS	CAZy	1
CBM32	galactose	BINDS	CAZy	1
CBM32	lactose	BINDS	CAZy	1
CBM32	polygalacturonic acid	BINDS	CAZy	1
CBM34	starch	BINDS	CAZy	1
CBM35	xylans	BINDS	CAZy	1
CBM35	beta-galactan	BINDS	CAZy	1
CBM36	xylans	BINDS	CAZy	1
CBM37	xylans	BINDS	CAZy	1
CBM37	chitin	BINDS	CAZy	1
CBM38	inulin	BINDS	CAZy	1
CBM39	beta-1,3-glucan	BINDS	CAZy	1
CBM39	lipopolysaccharides	BINDS	CAZy	1
CBM39	lipoteichoic acid	BINDS	CAZy	1
CBM41	alpha-glucans	BINDS	CAZy	1
CBM41	amylose	BINDS	CAZy	1
CBM41	amylopectin	BINDS	CAZy	1
CBM41	pullulan	BINDS	CAZy	1
CBM42	arabinofuranose	BINDS	CAZy	1
CBM43	beta-1,3-glucan	BINDS	CAZy	1
CBM44	cellulose	BINDS	CAZy	1
CBM44	xyloglucan	BINDS	CAZy	1
CBM45	starch	BINDS	CAZy	1
CBM46	cellulose	BINDS	CAZy	1
CBM47	fucose	BINDS	CAZy	1
CBM48	glycogen	BINDS	CAZy	1
CBM49	cellulose	BINDS	CAZy	1
CBM50	chitin	BINDS	CAZy	1
CBM50	peptidoglycan	BINDS	CAZy	1
CBM51	galactose	BINDS	CAZy	1
CBM52	beta-1,3-glucan	BINDS	CAZy	1
CBM53	starch	BINDS	CAZy	1
CBM54	xylan	BINDS	CAZy	1
CBM54	chitin	BINDS	CAZy	1
CBM55	chitin	BINDS	CAZy	1
CBM56	beta-1,3-glucan	BINDS	CAZy	1
CBM58	maltoheptaose	BINDS	CAZy	1
CBM59	mannans	BINDS	CAZy	1
CBM59	xylans	BINDS	CAZy	1
CBM59	cellulose	BINDS	CAZy	1
CBM60	xylans	BINDS	CAZy	1
CBM61	beta-1,4-galactan	BINDS	CAZy	1
CBM62	galactose	BINDS	CAZy	1
CBM62	xyloglucan	BINDS	CAZy	1
CBM62	arabinogalactan	BINDS	CAZy	1
CBM62	galactomannan	BINDS	CAZy	1
CBM63	cellulose	BINDS	CAZy	1
CBM64	cellulose	BINDS	CAZy	1
CBM65	xyloglucan	BINDS	CAZy	1
CBM66	fructans	BINDS	CAZy	1
CBM67	l-rhamnose	BINDS	CAZy	1
CBM68	maltotriose	BINDS	CAZy	1
CBM68	maltotetraose	BINDS	CAZy	1
CBM70	hyaluronic acid	BINDS	CAZy	1
CBM71	n-acetyl-lactosamine	BINDS	CAZy	1
CBM72	cellulose	BINDS	CAZy	1
CBM72	xylan	BINDS	CAZy	1
CBM73	chitin	BINDS	CAZy	1
CBM74	amylose	BINDS	CAZy	1
CBM75	xyloglucan	BINDS	CAZy	1
CBM76	beta-glucans	BINDS	CAZy	1
CBM76	xyloglucan	BINDS	CAZy	1
CBM76	glucomannan	BINDS	CAZy	1
CBM77	pectins	BINDS	CAZy	1
CBM78	&beta;-1,4-glucans	BINDS	CAZy	1
CBM78	xyloglucan	BINDS	CAZy	1
CBM79	beta-glucans	BINDS	CAZy	1
CBM80	glucomannan	BINDS	CAZy	1
CBM80	xyloglucan	BINDS	CAZy	1
CBM80	galactomannan	BINDS	CAZy	1
CBM81	xyloglucan	BINDS	CAZy	1
CBM82	starch	BINDS	CAZy	1
CBM83	starch	BINDS	CAZy	1
CBM84	xanthan	BINDS	CAZy	1
CBM87	galactosaminogalactan	BINDS	CAZy	1
CBM88	galactose	BINDS	CAZy	1
CBM90	ulvan	BINDS	CAZy	1
