from,to,amount
"Bacteroides cellulosilyticus WH2","GH157",2
"Bacteroides cellulosilyticus WH2","GH5_21",4
"Bacteroides cellulosilyticus WH2","CE6",2
"Bacteroides cellulosilyticus WH2","GH23",3
"Bacteroides cellulosilyticus WH2","GH78",11
"Bacteroides cellulosilyticus WH2","GH5_2",2
"Bacteroides cellulosilyticus WH2","GH5_4",4
"Bacteroides cellulosilyticus WH2","GH5_7",2
"Bacteroides cellulosilyticus WH2","GH5_46",2
"Bacteroides cellulosilyticus WH2","GH43_24",10
"Bacteroides cellulosilyticus WH2","GH172",1
"Bacteroides cellulosilyticus WH2","GH43_9",2
"Bacteroides cellulosilyticus WH2","GH33",2
"Bacteroides cellulosilyticus WH2","PL6_1",2
"Bacteroides cellulosilyticus WH2","GH30_3",4
"Bacteroides cellulosilyticus WH2","PL8_3",2
"Bacteroides cellulosilyticus WH2","GT3",1
"Bacteroides cellulosilyticus WH2","GH108",1
"Bacteroides cellulosilyticus WH2","PL11",1
"Bacteroides cellulosilyticus WH2","PL11_1",2
"Bacteroides cellulosilyticus WH2","CBM48",4
"Bacteroides cellulosilyticus WH2","GH76",1
"Bacteroides cellulosilyticus WH2","GT4",27
"Bacteroides cellulosilyticus WH2","GH24",1
"Bacteroides cellulosilyticus WH2","GH143",1
"Bacteroides cellulosilyticus WH2","GH57",1
"Bacteroides cellulosilyticus WH2","GH105",20
"Bacteroides cellulosilyticus WH2","GH38",1
"Bacteroides cellulosilyticus WH2","GT28",1
"Bacteroides cellulosilyticus WH2","GH42",3
"Bacteroides cellulosilyticus WH2","PL27",1
"Bacteroides cellulosilyticus WH2","GH159",3
"Bacteroides cellulosilyticus WH2","PL8_2",4
"Bacteroides cellulosilyticus WH2","GH43_35",2
"Bacteroides cellulosilyticus WH2","PL10_1",4
"Bacteroides cellulosilyticus WH2","GT9",1
"Bacteroides cellulosilyticus WH2","CBM22",2
"Bacteroides cellulosilyticus WH2","GH43_3",8
"Bacteroides cellulosilyticus WH2","GH50",2
"Bacteroides cellulosilyticus WH2","GH144",4
"Bacteroides cellulosilyticus WH2","GH30_2",4
"Bacteroides cellulosilyticus WH2","PL13",1
"Bacteroides cellulosilyticus WH2","GH137",1
"Bacteroides cellulosilyticus WH2","GH27",4
"Bacteroides cellulosilyticus WH2","GH106",6
"Bacteroides cellulosilyticus WH2","GH88",8
"Bacteroides cellulosilyticus WH2","GH43_34",6
"Bacteroides cellulosilyticus WH2","GH116",1
"Bacteroides cellulosilyticus WH2","GH136",2
"Bacteroides cellulosilyticus WH2","CBM57",1
"Bacteroides cellulosilyticus WH2","GH30_8",2
"Bacteroides cellulosilyticus WH2","CE15",1
"Bacteroides cellulosilyticus WH2","GH16",1
"Bacteroides cellulosilyticus WH2","GH16_3",6
"Bacteroides cellulosilyticus WH2","GT35",1
"Bacteroides cellulosilyticus WH2","GH43_19",6
"Bacteroides cellulosilyticus WH2","GH125",1
"Bacteroides cellulosilyticus WH2","GH43_1",2
"Bacteroides cellulosilyticus WH2","GH92",14
"Bacteroides cellulosilyticus WH2","GH43_11",2
"Bacteroides cellulosilyticus WH2","CE8",3
"Bacteroides cellulosilyticus WH2","GH43_29",8
"Bacteroides cellulosilyticus WH2","CE11",1
"Bacteroides cellulosilyticus WH2","GH140",2
"Bacteroides cellulosilyticus WH2","GH20",7
"Bacteroides cellulosilyticus WH2","GH26",5
"Bacteroides cellulosilyticus WH2","GH8",2
"Bacteroides cellulosilyticus WH2","GH32",2
"Bacteroides cellulosilyticus WH2","GH13",7
"Bacteroides cellulosilyticus WH2","GH13_8",2
"Bacteroides cellulosilyticus WH2","GH13_14",2
"Bacteroides cellulosilyticus WH2","GH13_38",4
"Bacteroides cellulosilyticus WH2","GH63",1
"Bacteroides cellulosilyticus WH2","GH173",2
"Bacteroides cellulosilyticus WH2","GH146",4
"Bacteroides cellulosilyticus WH2","GH115",4
"Bacteroides cellulosilyticus WH2","GH43_12",8
"Bacteroides cellulosilyticus WH2","PL30",2
"Bacteroides cellulosilyticus WH2","CBM20",2
"Bacteroides cellulosilyticus WH2","GH35",3
"Bacteroides cellulosilyticus WH2","PL12_2",2
"Bacteroides cellulosilyticus WH2","PL38",2
"Bacteroides cellulosilyticus WH2","CBM62",6
"Bacteroides cellulosilyticus WH2","PL37",1
"Bacteroides cellulosilyticus WH2","CE7",3
"Bacteroides cellulosilyticus WH2","GH43_28",4
"Bacteroides cellulosilyticus WH2","GH29",9
"Bacteroides cellulosilyticus WH2","GH43_16",2
"Bacteroides cellulosilyticus WH2","CBM13",2
"Bacteroides cellulosilyticus WH2","GH9",1
"Bacteroides cellulosilyticus WH2","CBM6",7
"Bacteroides cellulosilyticus WH2","PL33_1",2
"Bacteroides cellulosilyticus WH2","GH133",2
"Bacteroides cellulosilyticus WH2","GH154",3
"Bacteroides cellulosilyticus WH2","GH36",4
"Bacteroides cellulosilyticus WH2","GH66",1
"Bacteroides cellulosilyticus WH2","GH109",3
"Bacteroides cellulosilyticus WH2","GH2",46
"Bacteroides cellulosilyticus WH2","GT1",1
"Bacteroides cellulosilyticus WH2","GT0",3
"Bacteroides cellulosilyticus WH2","GH28",25
"Bacteroides cellulosilyticus WH2","CBM0",2
"Bacteroides cellulosilyticus WH2","CE12",5
"Bacteroides cellulosilyticus WH2","GH43_4",4
"Bacteroides cellulosilyticus WH2","GH43_10",14
"Bacteroides cellulosilyticus WH2","PL1_2",12
"Bacteroides cellulosilyticus WH2","GH43_18",8
"Bacteroides cellulosilyticus WH2","GH73",1
"Bacteroides cellulosilyticus WH2","CE2",1
"Bacteroides cellulosilyticus WH2","GH0",2
