from	to
alginates	polysaccharides
alginic acid	alginates
carrageenan	polysaccharides
chitin	polysaccharides
chitosan	chitin
ficoll	polysaccharides
fructans	polysaccharides
inulin	fructans
fungal polysaccharides	polysaccharides
galactans	polysaccharides
agar	galactans
glucans	polysaccharides
beta-glucans	glucans
cellulose	glucans
dextrans	glucans
glycogen	glucans
icodextrin	glucans
isomaltose	glucans
maltose	glucans
starch	glucans
trehalose	glucans
glycosaminoglycans	polysaccharides
chondroitin	glycosaminoglycans
heparin	glycosaminoglycans
heparitin sulfate	glycosaminoglycans
hyaluronic acid	glycosaminoglycans
keratan sulfate	glycosaminoglycans
mannans	polysaccharides
oligosaccharides	polysaccharides
disaccharides	oligosaccharides
fondaparinux	oligosaccharides
oligosaccharides, branched-chain	oligosaccharides
trisaccharides	oligosaccharides
pectins	polysaccharides
rhamnogalacturonans	pectins
pentosan sulfuric polyester	polysaccharides
plant gums	polysaccharides
chewing gum	plant gums
gum arabic	plant gums
karaya gum	plant gums
tragacanth	plant gums
plant mucilage	polysaccharides
polysaccharides, bacterial	polysaccharides
bambermycins	polysaccharides, bacterial
lipopolysaccharides	polysaccharides, bacterial
peptidoglycan	polysaccharides, bacterial
prebiotics	polysaccharides, bacterial
prodigiozan	polysaccharides, bacterial
teichoic acids	polysaccharides, bacterial
proteoglycans	polysaccharides
chondroitin sulfate proteoglycans	proteoglycans
heparan sulfate proteoglycans	proteoglycans
small leucine-rich proteoglycans	proteoglycans
sepharose	polysaccharides
xylans	polysaccharides
