from,to
"Chitinophagales","Chitinophagaceae"
"Bacteroides","Bacteroides helcogenes"
"Kordia","Kordia algicida"
"Flavobacterium","Flavobacterium branchiophilum"
"Hymenobacter","Hymenobacter swuensis"
"Porphyromonadaceae","Porphyromonas"
"Riemerella","Riemerella anatipestifer"
"Cytophagales","Marivirgaceae"
"Prevotella","Prevotella denticola"
"Aquimarina","Aquimarina agarilytica"
"Flavobacteriaceae","Dokdonia"
"Bacteroidia","Bacteroidales"
"Sphingobacteriaceae","Olivibacter"
"Echinicola","Echinicola vietnamensis"
"Hymenobacteraceae","Hymenobacter"
"Flavobacteriaceae","Lacinutrix"
"Bacteroides","Bacteroides stercoris"
"Odoribacter","Odoribacter splanchnicus"
"Flavobacteriia","Flavobacteriales"
"Flavobacteriaceae","Lutibacter"
"Flavobacteriales","Crocinitomicaceae"
"Flavobacteriaceae","Kordia"
"Porphyromonas","Porphyromonas gingivalis"
"Capnocytophaga","Capnocytophaga ochracea"
"Flavobacteriaceae","Salegentibacter"
"Gramella","Gramella forsetii"
"Bacteroidales","Prevotellaceae"
"Leadbetterella","Leadbetterella byssophila"
"Flavobacteriaceae","Marixanthomonas"
"Cyclobacteriaceae","Aquiflexum"
"Prevotella","Prevotella veroralis"
"Alistipes","Alistipes finegoldii"
"Belliella","Belliella baltica"
"Muribaculaceae","Duncaniella"
"Owenweeksia","Owenweeksia hongkongensis"
"Flavobacteriaceae","Winogradskyella"
"Fulvivirgaceae","Fulvivirga"
"Bacteroides","Bacteroides cellulosilyticus"
"Flavobacteriaceae","Flavobacterium"
"Dysgonomonas","Dysgonomonas gadei"
"Dysgonomonadaceae","Proteiniphilum"
"Prevotellaceae","Prevotella"
"Prevotella","Prevotella dentalis"
"Sphingobacteriales","Sphingobacteriaceae"
"Saprospira","Saprospira grandis"
"Runella","Runella slithyformis"
"Weeksella","Weeksella virosa"
"Bacteroidetes","Bacteroidetes Order II. Incertae sedis"
"Gillisia","Gillisia limnaea"
"Cyclobacteriaceae","Algoriphagus"
"Flavobacteriaceae","Muricauda"
"Weeksellaceae","Weeksella"
"Flavobacteriaceae","Siansivirga"
"Schleiferiaceae","Owenweeksia"
"Dokdonia","Dokdonia donghaensis"
"Flavobacteriaceae","Robiginitalea"
"Pedobacter","Pedobacter heparinus"
"Bacteroidia","Marinilabiliales"
"Flavobacterium","Flavobacterium columnare"
"Flavobacteriaceae","Cellulophaga"
"Flavobacteriaceae","Seonamhaeicola"
"Bacteroidales","Dysgonomonadaceae"
"Tannerella","Tannerella forsythia"
"Croceitalea","Croceitalea dokdonensis"
"Bacteroides","Bacteroides fluxus"
"Marinilabiliaceae","Saccharicrinis"
"Bacteroidales","Tannerellaceae"
"Phocaeicola","Phocaeicola plebeius"
"Echinicola","Echinicola pacifica"
"Prevotella","Prevotella ruminicola"
"Flavobacteriales","Blattabacteriaceae"
"Cytophagales","Flammeovirgaceae"
"Salinibacter","Salinibacter ruber"
"Rikenellaceae","Mucinivorans"
"Chitinophagaceae","Ferruginibacter"
"Prevotella","Prevotella bryantii"
"Bacteroides","Bacteroides ovatus"
"Spirosomaceae","Runella"
"Paludibacter","Paludibacter propionicigenes"
"Bacteroides","Bacteroides uniformis"
"Fibrisoma","Fibrisoma limi"
"Flavobacteriaceae","Leeuwenhoekiella"
"Sphingobacteriia","Sphingobacteriales"
"Sphingobacteriaceae","Pedobacter"
"Bacteroidetes","Sphingobacteriia"
"Blattabacterium","Blattabacterium sp. (Periplaneta americana)"
"Cytophagales","Amoebophilaceae"
"Flavobacteriaceae","Oceanihabitans"
"Cellulophaga","Cellulophaga lytica"
"Marinilabiliales","Prolixibacteraceae"
"Hymenobacteraceae","Pontibacter"
"Weeksellaceae","Kaistella"
"Prevotella","Prevotella intermedia"
"Prevotella","Prevotella oris"
"Spirosoma","Spirosoma linguale"
"Flavobacteriaceae","Gilvibacter"
"Amoebophilaceae","Candidatus Amoebophilus"
"Cytophagaceae","Aquirufa"
"Chitinophagaceae","Lacibacter"
"Cytophagales","Fulvivirgaceae"
"Flavobacteriaceae","Antarcticibacterium"
"Cytophaga","Cytophaga hutchinsonii"
"Spirosomaceae","Leadbetterella"
"Bacteroidales","Rikenellaceae"
"Phocaeicola","Phocaeicola vulgatus"
"Flavobacteriaceae","Psychroflexus"
"Siansivirga","Siansivirga zeaxanthinifaciens"
"Weeksellaceae","Riemerella"
"Bacteroides","Bacteroides finegoldii"
"Persicobacteraceae","Persicobacter"
"Elizabethkingia","Elizabethkingia anophelis"
"Blattabacterium","Blattabacterium sp. (Blatta orientalis)"
"Flavobacteriaceae","Zunongwangia"
"Bacteria","Bacteroidetes"
"Flavobacterium","Flavobacterium indicum"
"Weeksellaceae","Elizabethkingia"
"Flavobacteriaceae","Sabulilitoribacter"
"Cyclobacterium","Cyclobacterium marinum"
"Spirosomaceae","Fibrella"
"Candidatus Cardinium","Cardinium endosymbiont of Encarsia pergandiella"
"Cytophagales","Cytophagaceae"
"Rikenellaceae","Alistipes"
"Aquiflexum","Aquiflexum balticum"
"Formosa","Formosa agariphila"
"Parabacteroides","Parabacteroides gordonii"
"Marinilabiliaceae","Alkaliflexus"
"Fluviicola","Fluviicola taffensis"
"Bacteroides","Bacteroides eggerthii"
"Crocinitomicaceae","Fluviicola"
"Tannerellaceae","Tannerella"
"Flavobacteriaceae","Ochrovirga"
"Prevotella","Prevotella histicola"
"Flavobacteriaceae","Tamlana"
"Niastella","Niastella koreensis"
"Cytophagales","Cyclobacteriaceae"
"Cellulophaga","Cellulophaga baltica"
"Flavobacteriaceae","Gillisia"
"Flavobacteriaceae","Mesoflavibacter"
"Flavobacteriaceae","Mariniflexile"
"Weeksellaceae","Apibacter"
"Flavobacteriaceae","Galbibacter"
"Chitinophagaceae","Arachidicoccus"
"Flavobacteriaceae","Hwangdonia"
"Bacteroidales","Barnesiellaceae"
"Bacteroidales","Bacteroidaceae"
"Candidatus Amoebophilus","Candidatus Amoebophilus asiaticus"
"Bacteroidales","Odoribacteraceae"
"Flavobacteriales","Candidatus Uzinura diaspidicola"
"Bernardetiaceae","Bernardetia"
"Cytophagales","Spirosomaceae"
"Bacteroides","Bacteroides salyersiae"
"Bacteroidaceae","Bacteroides"
"Bacteroidetes","Flavobacteriia"
"Tenacibaculum","Tenacibaculum maritimum"
"Sphingobacteriaceae","Solitalea"
"Flavobacteriaceae","Myroides"
"Odoribacteraceae","Odoribacter"
"Flavobacteriaceae","Wenyingzhuangia"
"Fibrella","Fibrella aestuarina"
"Bacteroidetes Order II. Incertae sedis","Rhodothermaceae"
"Parabacteroides","Parabacteroides distasonis"
"Blattabacterium","Blattabacterium cuenoti"
"Capnocytophaga","Capnocytophaga canimorsus"
"Saprospiraceae","Saprospira"
"Saprospiria","Saprospirales"
"Cytophagaceae","Spirosoma"
"Sphingobacteriaceae","Pseudopedobacter"
"Amoebophilaceae","Candidatus Cardinium"
"Flavobacteriaceae","Aequorivita"
"Flavobacteriaceae","Formosa"
"Bacteroides","Bacteroides thetaiotaomicron"
