cazy	test	extract
CBM1	Modules of approx. 40 residues found almost exclusively in fungi. The cellulose-binding function has been demonstrated in many cases, and appears to be mediated by three aromatic residues separated by about 10.4 angstrom and which form a flat surface. The only non-fungal occurence of CBM1 is in an algal non-hydrolytic polysaccharide-binding protein which is composed of four repeated CBM1 modules. Binding to chitin has been demonstrated in one case.	CBM1|BINDS|Cellulose
CBM1	Modules of approx. 40 residues found almost exclusively in fungi. The cellulose-binding function has been demonstrated in many cases, and appears to be mediated by three aromatic residues separated by about 10.4 angstrom and which form a flat surface. The only non-fungal occurence of CBM1 is in an algal non-hydrolytic polysaccharide-binding protein which is composed of four repeated CBM1 modules. Binding to chitin has been demonstrated in one case.	CBM1|BINDS|Chitin
CBM2	Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.	CBM2|BINDS|Cellulose
CBM2	Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.	CBM2|BINDS|Chitin
CBM2	Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.	CBM2|BINDS|Xylans
CBM3	Modules of approx. 150 residues found in bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. In one instance binding to chitin has been reported.	CBM3|BINDS|Cellulose
CBM3	Modules of approx. 150 residues found in bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. In one instance binding to chitin has been reported.	CBM3|BINDS|Chitin
CBM4	Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, &beta;-1,6-glucan and amorphous cellulose but not with crystalline cellulose.	CBM4|BINDS|Xylans
CBM4	Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, &beta;-1,6-glucan and amorphous cellulose but not with crystalline cellulose.	CBM4|BINDS|beta-1,3-glucan
CBM4	Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, &beta;-1,6-glucan and amorphous cellulose but not with crystalline cellulose.	CBM4|BINDS|beta-1,3-1,4-glucan
CBM4	Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, &beta;-1,6-glucan and amorphous cellulose but not with crystalline cellulose.	CBM4|BINDS|beta-1,6-glucan
CBM4	Modules of approx. 150 residues found in bacterial enzymes. Binding of these modules has been demonstrated with xylan, &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, &beta;-1,6-glucan and amorphous cellulose but not with crystalline cellulose.	CBM4|BINDS|Cellulose
CBM5	Modules of approx. 60 residues found in bacterial enzymes. Chitin-binding described in several cases. Distantly related to the CBM12 family.	CBM5|RELATES|CBM12
CBM5	Modules of approx. 60 residues found in bacterial enzymes. Chitin-binding described in several cases. Distantly related to the CBM12 family.	CBM5|BINDS|Chitin
CBM6	Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and &beta;-1,4-xylan. Some of these modules also bind &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, and &beta;-1,4-glucan.	CBM6|BINDS|Cellulose
CBM6	Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and &beta;-1,4-xylan. Some of these modules also bind &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, and &beta;-1,4-glucan.	CBM6|BINDS|beta-1,3-glucan
CBM6	Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and &beta;-1,4-xylan. Some of these modules also bind &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, and &beta;-1,4-glucan.	CBM6|BINDS|beta-1,3-1,4-glucan
CBM6	Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and &beta;-1,4-xylan. Some of these modules also bind &beta;-1,3-glucan, &beta;-1,3-1,4-glucan, and &beta;-1,4-glucan.	CBM6|BINDS|beta-1,4-glucan
CBM8	The cellulose-binding module from a cellulase of the slime mold Dictyostelium discoideum has been experimentally shown to bind cellulose.	CBM8|BINDS|Cellulose
CBM9	Modules of approx. 170 residues found so far only in xylanases. The cellulose-binding function has been demonstrated in one case.	CBM9|BINDS|Cellulose
CBM9	Modules of approx. 170 residues found so far only in xylanases. The cellulose-binding function has been demonstrated in one case.	CBM9|BINDS|Xylans
CBM10	Modules of approx. 50 residues. The cellulose-binding function has been demonstrated in one case.	CBM10|BINDS|Cellulose
CBM11	Modules of approx. 180-200 residues. The CBM11 of <I>Clotridium thermocellum</I> Cel26A-Cel5E has been shown to bind both &beta;-1,4-glucan and &beta;-1,3-1,4-mixed linked glucans.	CBM11|BINDS|beta-1,4-glucan
CBM11	Modules of approx. 180-200 residues. The CBM11 of <I>Clotridium thermocellum</I> Cel26A-Cel5E has been shown to bind both &beta;-1,4-glucan and &beta;-1,3-1,4-mixed linked glucans.	CBM11|BINDS|beta-1,3-1,4-mixed linked glucans
CBM12	Modules of approx. 40-60 residues. The majority of these modules is found among chitinases where the function is chitin-binding. Distantly related to the CBM5 family.	CBM12|BINDS|Chitin
CBM12	Modules of approx. 40-60 residues. The majority of these modules is found among chitinases where the function is chitin-binding. Distantly related to the CBM5 family.	CBM12|RELATES|CBM5
