from	to	action
PL21_1	PL21	IS_A
PL33_1	PL33	IS_A
PL33_2	PL33	IS_A
PL36_1	PL36	IS_A
PL36_2	PL36	IS_A
GH5_1	GH5	IS_A
GH5_2	GH5	IS_A
GH5_4	GH5	IS_A
GH5_5	GH5	IS_A
GH5_7	GH5	IS_A
GH5_8	GH5	IS_A
GH5_9	GH5	IS_A
GH5_10	GH5	IS_A
GH5_11	GH5	IS_A
GH5_12	GH5	IS_A
GH5_13	GH5	IS_A
GH5_14	GH5	IS_A
GH5_15	GH5	IS_A
GH5_16	GH5	IS_A
GH5_17	GH5	IS_A
GH5_18	GH5	IS_A
GH5_19	GH5	IS_A
GH5_20	GH5	IS_A
GH5_21	GH5	IS_A
GH5_22	GH5	IS_A
GH5_23	GH5	IS_A
GH5_24	GH5	IS_A
GH5_25	GH5	IS_A
GH5_26	GH5	IS_A
GH5_27	GH5	IS_A
GH5_28	GH5	IS_A
GH5_29	GH5	IS_A
GH5_30	GH5	IS_A
GH5_31	GH5	IS_A
GH5_32	GH5	IS_A
GH5_33	GH5	IS_A
GH5_34	GH5	IS_A
GH5_35	GH5	IS_A
GH5_36	GH5	IS_A
GH5_37	GH5	IS_A
GH5_38	GH5	IS_A
GH5_39	GH5	IS_A
GH5_40	GH5	IS_A
GH5_41	GH5	IS_A
GH5_42	GH5	IS_A
GH5_43	GH5	IS_A
GH5_44	GH5	IS_A
GH5_45	GH5	IS_A
GH5_46	GH5	IS_A
GH5_47	GH5	IS_A
GH5_48	GH5	IS_A
GH5_49	GH5	IS_A
GH5_50	GH5	IS_A
GH5_51	GH5	IS_A
GH5_52	GH5	IS_A
GH5_53	GH5	IS_A
GH5_54	GH5	IS_A
GH5_55	GH5	IS_A
GH5_56	GH5	IS_A
GH13_1	GH13	IS_A
GH13_2	GH13	IS_A
GH13_3	GH13	IS_A
GH13_4	GH13	IS_A
GH13_5	GH13	IS_A
GH13_6	GH13	IS_A
GH13_7	GH13	IS_A
GH13_8	GH13	IS_A
GH13_9	GH13	IS_A
GH13_10	GH13	IS_A
GH13_11	GH13	IS_A
GH13_12	GH13	IS_A
GH13_13	GH13	IS_A
GH13_14	GH13	IS_A
GH13_15	GH13	IS_A
GH13_16	GH13	IS_A
GH13_17	GH13	IS_A
GH13_18	GH13	IS_A
GH13_19	GH13	IS_A
GH13_20	GH13	IS_A
GH13_21	GH13	IS_A
GH13_22	GH13	IS_A
GH13_23	GH13	IS_A
GH13_24	GH13	IS_A
GH13_25	GH13	IS_A
GH13_26	GH13	IS_A
GH13_27	GH13	IS_A
GH13_28	GH13	IS_A
GH13_29	GH13	IS_A
GH13_30	GH13	IS_A
GH13_31	GH13	IS_A
GH13_32	GH13	IS_A
GH13_33	GH13	IS_A
GH13_34	GH13	IS_A
GH13_35	GH13	IS_A
GH13_36	GH13	IS_A
GH13_37	GH13	IS_A
GH13_38	GH13	IS_A
GH13_39	GH13	IS_A
GH13_40	GH13	IS_A
GH13_41	GH13	IS_A
GH13_42	GH13	IS_A
GH13_43	GH13	IS_A
GH13_44	GH13	IS_A
GH16_1	GH16	IS_A
GH16_2	GH16	IS_A
GH16_3	GH16	IS_A
GH16_4	GH16	IS_A
GH16_5	GH16	IS_A
GH16_6	GH16	IS_A
GH16_7	GH16	IS_A
GH16_8	GH16	IS_A
GH16_9	GH16	IS_A
GH16_10	GH16	IS_A
GH16_11	GH16	IS_A
GH16_12	GH16	IS_A
GH16_13	GH16	IS_A
GH16_14	GH16	IS_A
GH16_15	GH16	IS_A
GH16_16	GH16	IS_A
GH16_17	GH16	IS_A
GH16_18	GH16	IS_A
GH16_19	GH16	IS_A
GH16_20	GH16	IS_A
GH16_21	GH16	IS_A
GH16_22	GH16	IS_A
GH16_23	GH16	IS_A
GH16_24	GH16	IS_A
GH16_25	GH16	IS_A
GH16_26	GH16	IS_A
GH16_27	GH16	IS_A
GH30_1	GH30	IS_A
GH30_2	GH30	IS_A
GH30_3	GH30	IS_A
GH30_4	GH30	IS_A
GH30_5	GH30	IS_A
GH30_6	GH30	IS_A
GH30_7	GH30	IS_A
GH30_8	GH30	IS_A
GH30_9	GH30	IS_A
GH30_10	GH30	IS_A
GH43_1	GH43	IS_A
GH43_2	GH43	IS_A
GH43_3	GH43	IS_A
GH43_4	GH43	IS_A
GH43_5	GH43	IS_A
GH43_6	GH43	IS_A
GH43_7	GH43	IS_A
GH43_8	GH43	IS_A
GH43_9	GH43	IS_A
GH43_10	GH43	IS_A
GH43_11	GH43	IS_A
GH43_12	GH43	IS_A
GH43_13	GH43	IS_A
GH43_14	GH43	IS_A
GH43_15	GH43	IS_A
GH43_16	GH43	IS_A
GH43_17	GH43	IS_A
GH43_18	GH43	IS_A
GH43_19	GH43	IS_A
GH43_20	GH43	IS_A
GH43_21	GH43	IS_A
GH43_22	GH43	IS_A
GH43_23	GH43	IS_A
GH43_24	GH43	IS_A
GH43_25	GH43	IS_A
GH43_26	GH43	IS_A
GH43_27	GH43	IS_A
GH43_28	GH43	IS_A
GH43_29	GH43	IS_A
GH43_30	GH43	IS_A
GH43_31	GH43	IS_A
GH43_32	GH43	IS_A
GH43_33	GH43	IS_A
GH43_34	GH43	IS_A
GH43_35	GH43	IS_A
GH43_36	GH43	IS_A
GH43_37	GH43	IS_A
GH43_39	GH43	IS_A
PL1_1	PL1	IS_A
PL1_2	PL1	IS_A
PL1_3	PL1	IS_A
PL1_4	PL1	IS_A
PL1_5	PL1	IS_A
PL1_6	PL1	IS_A
PL1_7	PL1	IS_A
PL1_8	PL1	IS_A
PL1_9	PL1	IS_A
PL1_10	PL1	IS_A
PL1_11	PL1	IS_A
PL1_12	PL1	IS_A
PL1_13	PL1	IS_A
PL2_1	PL2	IS_A
PL2_2	PL2	IS_A
PL3_1	PL3	IS_A
PL3_2	PL3	IS_A
PL3_3	PL3	IS_A
PL3_4	PL3	IS_A
PL3_5	PL3	IS_A
PL4_1	PL4	IS_A
PL4_2	PL4	IS_A
PL4_3	PL4	IS_A
PL4_4	PL4	IS_A
PL4_5	PL4	IS_A
PL6_1	PL6	IS_A
PL6_2	PL6	IS_A
PL6_3	PL6	IS_A
PL7_1	PL7	IS_A
PL7_2	PL7	IS_A
PL7_3	PL7	IS_A
PL7_4	PL7	IS_A
PL7_5	PL7	IS_A
PL8_1	PL8	IS_A
PL8_2	PL8	IS_A
PL8_3	PL8	IS_A
PL8_4	PL8	IS_A
PL9_1	PL9	IS_A
PL9_2	PL9	IS_A
PL9_3	PL9	IS_A
PL9_4	PL9	IS_A
PL10_1	PL10	IS_A
PL10_2	PL10	IS_A
PL10_3	PL10	IS_A
PL11_1	PL11	IS_A
PL11_2	PL11	IS_A
PL12_1	PL12	IS_A
PL12_2	PL12	IS_A
PL12_3	PL12	IS_A
PL14_1	PL14	IS_A
PL14_2	PL14	IS_A
PL14_3	PL14	IS_A
PL14_4	PL14	IS_A
PL14_5	PL14	IS_A
PL15_1	PL15	IS_A
PL15_2	PL15	IS_A
PL17_1	PL17	IS_A
PL17_2	PL17	IS_A
PL22_1	PL22	IS_A
PL22_2	PL22	IS_A
