from	to	action	doi	primary
GH5_1	GH5	IS_A	CAZy	1
GH5_2	GH5	IS_A	CAZy	1
GH5_4	GH5	IS_A	CAZy	1
GH5_5	GH5	IS_A	CAZy	1
GH5_7	GH5	IS_A	CAZy	1
GH5_8	GH5	IS_A	CAZy	1
GH5_9	GH5	IS_A	CAZy	1
GH5_10	GH5	IS_A	CAZy	1
GH5_11	GH5	IS_A	CAZy	1
GH5_12	GH5	IS_A	CAZy	1
GH5_13	GH5	IS_A	CAZy	1
GH5_14	GH5	IS_A	CAZy	1
GH5_15	GH5	IS_A	CAZy	1
GH5_16	GH5	IS_A	CAZy	1
GH5_17	GH5	IS_A	CAZy	1
GH5_18	GH5	IS_A	CAZy	1
GH5_19	GH5	IS_A	CAZy	1
GH5_20	GH5	IS_A	CAZy	1
GH5_21	GH5	IS_A	CAZy	1
GH5_22	GH5	IS_A	CAZy	1
GH5_23	GH5	IS_A	CAZy	1
GH5_24	GH5	IS_A	CAZy	1
GH5_25	GH5	IS_A	CAZy	1
GH5_26	GH5	IS_A	CAZy	1
GH5_27	GH5	IS_A	CAZy	1
GH5_28	GH5	IS_A	CAZy	1
GH5_29	GH5	IS_A	CAZy	1
GH5_30	GH5	IS_A	CAZy	1
GH5_31	GH5	IS_A	CAZy	1
GH5_32	GH5	IS_A	CAZy	1
GH5_33	GH5	IS_A	CAZy	1
GH5_34	GH5	IS_A	CAZy	1
GH5_35	GH5	IS_A	CAZy	1
GH5_36	GH5	IS_A	CAZy	1
GH5_37	GH5	IS_A	CAZy	1
GH5_38	GH5	IS_A	CAZy	1
GH5_39	GH5	IS_A	CAZy	1
GH5_40	GH5	IS_A	CAZy	1
GH5_41	GH5	IS_A	CAZy	1
GH5_42	GH5	IS_A	CAZy	1
GH5_43	GH5	IS_A	CAZy	1
GH5_44	GH5	IS_A	CAZy	1
GH5_45	GH5	IS_A	CAZy	1
GH5_46	GH5	IS_A	CAZy	1
GH5_47	GH5	IS_A	CAZy	1
GH5_48	GH5	IS_A	CAZy	1
GH5_49	GH5	IS_A	CAZy	1
GH5_50	GH5	IS_A	CAZy	1
GH5_51	GH5	IS_A	CAZy	1
GH5_52	GH5	IS_A	CAZy	1
GH5_53	GH5	IS_A	CAZy	1
GH5_54	GH5	IS_A	CAZy	1
GH5_55	GH5	IS_A	CAZy	1
GH5_56	GH5	IS_A	CAZy	1
GH13_1	GH13	IS_A	CAZy	1
GH13_2	GH13	IS_A	CAZy	1
GH13_3	GH13	IS_A	CAZy	1
GH13_4	GH13	IS_A	CAZy	1
GH13_5	GH13	IS_A	CAZy	1
GH13_6	GH13	IS_A	CAZy	1
GH13_7	GH13	IS_A	CAZy	1
GH13_8	GH13	IS_A	CAZy	1
GH13_9	GH13	IS_A	CAZy	1
GH13_10	GH13	IS_A	CAZy	1
GH13_11	GH13	IS_A	CAZy	1
GH13_12	GH13	IS_A	CAZy	1
GH13_13	GH13	IS_A	CAZy	1
GH13_14	GH13	IS_A	CAZy	1
GH13_15	GH13	IS_A	CAZy	1
GH13_16	GH13	IS_A	CAZy	1
